PLEASE DO NOT DELETE THIS COLUMN OR ELSE THE DATA WILL NOT IMPORT CORRECTLY,Note,UPC,SKU,FrameName,Manufacturer,Brand,BrandID,Collection,ProductGroupType,FramecolorColorGroup,FrameColor,FrameColorCode,LensColor,LensColorCode,EyeSize,A,B,ED,EDAngle,TempleLength,BridgeSize,DBL,STS,Circumference,GenderType,AgeType,MaterialType,MaterialDescription,PreciousMetalType,PreciousMetalDescription,CountryofOrigin,TempleType,TempleTypeDescription,BridgeType,BridgeTypeDescription,LensType,LensTypeDescription,TrimType,TrimDescription,ClipSunglassType,ClipSunglassDescription,SideshieldsType,SideshieldsDescription,EdgeType,CaseType,CaseTypeDescription,HingeType,RimType,FrameShape,ShapeDescription,MonthIntroduced,YearIntroduced,Features,FramesPDType,LensVisionType,LensVisionDescription,RXType,RXDescription,WarrantyType,WarrantyDescription,Radii
98911892-c1ec-4cfa-b6b2-80c5e0f48a57,,715583247277,,SK 1000,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Blue,Blue,BL,,,45,43.20,22.80,44.10,14.4,125,17,17,109,110.3,Female,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,Laser engraved star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand Case,Spring Hinge,Full Rim,Rectangle,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
029560ce-4a22-476a-9107-c0808b76630d,,715583247291,,SK 1000,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,Brown,BRN,,,45,43.20,22.80,44.10,14.4,125,17,17,109,110.3,Female,Child,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,Laser engraved star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand Case,Spring Hinge,Full Rim,Rectangle,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
a68c419a-d86c-4c8a-8831-518d677b0328,,715583247345,,SK 1001,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Purple,Purple,PUR,,,44,42.70,21.40,43.50,165.6,125,16,16,107,108.7,Female,Child,Metal,Stainless Steel & Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Laser engraved star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
83addcc1-0771-4034-ac20-727e06aafff1,,715583247352,,SK 1001,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Rose,Rose,RO,,,44,42.70,21.40,43.50,165.6,125,16,16,107,108.7,Female,Child,Metal,Stainless Steel & Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Laser engraved star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
b24a6ac7-7f3b-4f6b-a8ff-b1632b2df9b3,,715583247321,,SK 1001,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Black,Black,BLK,,,44,42.70,21.40,43.50,165.6,125,16,16,107,108.7,Female,Child,Metal,Stainless Steel & Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Laser engraved star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
baa8b102-b82b-46f6-8924-c19b20dac879,,715583247338,,SK 1001,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,Brown,BRN,,,44,42.70,21.40,43.50,165.6,125,16,16,107,108.7,Female,Child,Metal,Stainless Steel & Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Laser engraved star & Skechers cali logo detail.,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
3d1ef714-9888-4a01-ab32-69e20bab0976,,715583246461,,SK 1006,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Rose,Satin Pink,SPK,,,46,45.60,22.80,46.50,12.6,120,15,15,112,117.4,Female,Child,Metal,Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,grooved,Hard case included.,Brand case,Spring Hinge,Semi-Rimless,Cat Eye,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
255ee369-f006-4e2c-8cd0-7e3f3c638e49,,715583246485,,SK 1006,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Burgundy,Satin Wine,SWN,,,46,45.60,22.80,46.50,12.6,120,15,15,112,117.4,Female,Child,Metal,Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,grooved,Hard case included.,Brand case,Spring Hinge,Semi-Rimless,Cat Eye,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
39508260-d16f-4ede-8bcf-8c538de0ade3,,715583246454,,SK 1006,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,Satin Brown,SBRN,,,46,45.60,22.80,46.50,12.6,120,15,15,112,117.4,Female,Child,Metal,Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,grooved,Hard case included.,Brand case,Spring Hinge,Semi-Rimless,Cat Eye,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
b10bf13e-df5a-4f1d-9ddc-92ba46e90945,,715583246478,,SK 1006,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Purple,Satin Purple,SPUR,,,46,45.60,22.80,46.50,12.6,120,15,15,112,117.4,Female,Child,Metal,Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Shooting star & Skechers cali logo detail.,,,,,grooved,Hard case included.,Brand case,Spring Hinge,Semi-Rimless,Cat Eye,,January,2010,,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
